user_id,recomendations
49,"[1000753, 6602697, 918410, 1058997, 862732]"
50,"[874972, 1093603, 1127624, 962229, 1107289]"
51,"[874972, 1088147, 880427, 867469, 1070272]"
52,"[874972, 898847, 1093113, 5569230, 1106523]"
53,"[839419, 825882, 820291, 5569471, 6034857]"
55,"[874972, 1077373, 1062966, 844165, 849843]"
56,"[904997, 1119051, 922561, 1056651, 1058997]"
57,"[874972, 1065593, 1074524, 854852, 965766]"
58,"[874972, 10457044, 1048068, 915493, 1058997]"
59,"[874972, 937928, 948232, 1133018, 826385]"
62,"[874972, 1082185, 1029743, 995242, 1106523]"
63,"[874972, 970619, 1082185, 1029743, 995242]"
64,"[982469, 996425, 8019716, 1065593, 13841744]"
65,"[874972, 1118281, 5568378, 986912, 965766]"
67,"[12810391, 1110244, 1102927, 971922, 965530]"
68,"[1012587, 1131550, 1106390, 947798, 879755]"
69,"[972143, 842707, 1043663, 1044188, 918733]"
70,"[874972, 1039156, 1082185, 1029743, 995242]"
71,"[874972, 13841744, 865511, 926905, 1101010]"
72,"[874972, 1082185, 1029743, 995242, 1106523]"
75,"[874972, 1082185, 1029743, 995242, 1106523]"
77,"[854405, 948832, 923967, 1126899, 873964]"
78,"[874972, 1104349, 12262992, 849843, 968932]"
79,"[874972, 921504, 15926886, 1070015, 862349]"
80,"[874972, 1033615, 9926758, 986912, 7409957]"
81,"[874972, 999971, 916381, 913490, 995242]"
82,"[874972, 1045285, 929726, 1119761, 1082185]"
83,"[1075214, 840361, 1082185, 1029743, 995242]"
84,"[874972, 1079292, 830887, 1082185, 1029743]"
85,"[14106445, 887219, 840386, 1139782, 1079987]"
86,"[874972, 971922, 1101010, 1106523, 951590]"
87,"[874972, 965963, 8293385, 1082185, 1029743]"
88,"[874972, 1070820, 831063, 8090521, 5565925]"
90,"[874972, 923789, 923149, 1070820, 1003188]"
91,"[874972, 895540, 1088147, 1029743, 1113667]"
92,"[874972, 6979005, 1080853, 900802, 6424447]"
94,"[874972, 1076580, 1077555, 826144, 1013641]"
95,"[874972, 910673, 835279, 922561, 8090519]"
97,"[874972, 831063, 1122358, 1075368, 1016800]"
98,"[874972, 1058997, 879755, 1091858, 1113588]"
99,"[874972, 898601, 5587656, 10457044, 9571047]"
100,"[863762, 5995597, 1111786, 849843, 1116096]"
101,"[12731432, 862349, 985119, 8090521, 1056509]"
103,"[874972, 1082185, 1029743, 995242, 1106523]"
104,"[906335, 848071, 6034857, 1067749, 948254]"
105,"[874972, 997200, 1081421, 879755, 849003]"
106,"[874972, 1119051, 1093413, 849843, 8090521]"
107,"[874972, 916381, 1037840, 1082185, 1029743]"
109,"[874972, 13842214, 824005, 989101, 1046756]"
110,"[874972, 1021715, 1031833, 1070015, 1056651]"
111,"[874972, 8090536, 840601, 6602327, 12811532]"
112,"[874972, 1043035, 7168026, 1082185, 1029743]"
113,"[1075214, 8203451, 855356, 1070820, 7410071]"
114,"[874972, 1116096, 903230, 5568489, 877358]"
115,"[947858, 12731714, 1096317, 1058997, 913210]"
116,"[874972, 850058, 1037863, 923746, 1082185]"
117,"[874972, 1019643, 9420312, 1056651, 962229]"
118,"[874972, 9803601, 1023196, 1058997, 943858]"
119,"[874972, 938566, 999581, 940947, 1131488]"
121,"[863447, 856060, 921288, 8090537, 835098]"
122,"[874972, 1035676, 9419525, 7409971, 1053176]"
123,"[874972, 8090509, 1101567, 862822, 849843]"
124,"[874972, 12263788, 1035676, 833025, 844179]"
125,"[14106445, 1018588, 9884484, 8090532, 868764]"
126,"[874972, 1019247, 898068, 962185, 1082185]"
127,"[1012587, 960858, 5585510, 1075368, 13842214]"
128,"[874972, 847241, 1044188, 1082185, 1015296]"
131,"[1075214, 1048068, 942778, 1026209, 1084968]"
132,"[874972, 1084968, 891906, 1126899, 5587938]"
133,"[874972, 5582712, 1006342, 6513604, 870515]"
134,"[874972, 6533362, 862682, 960984, 862335]"
135,"[874972, 879876, 852360, 826249, 1082185]"
136,"[874972, 863506, 6034966, 8090537, 944466]"
138,"[874972, 9836106, 1009449, 5569230, 1038217]"
139,"[12262830, 5569471, 976199, 1107553, 1058997]"
140,"[874972, 832678, 5591083, 951821, 914190]"
141,"[874972, 1108854, 1048472, 1082185, 1029743]"
142,"[874972, 1138772, 8160430, 1082212, 1074524]"
143,"[874972, 978077, 1127758, 1106523, 1062782]"
146,"[874972, 893867, 849843, 1127470, 1109948]"
151,"[874972, 1005456, 1126252, 1028473, 5569230]"
153,"[874972, 909750, 1093113, 10285243, 900145]"
156,"[874972, 1057260, 5591154, 976214, 9526254]"
157,"[874972, 8119303, 916122, 1126899, 948832]"
158,"[834826, 1082185, 847789, 862349, 12731714]"
159,"[874972, 1106301, 1087102, 9420312, 849843]"
160,"[899019, 900586, 925164, 862349, 1101010]"
161,"[1051323, 916381, 1119051, 1123792, 9677202]"
162,"[874972, 879528, 929605, 862349, 1122358]"
164,"[839419, 1127624, 978974, 1092026, 888054]"
166,"[874972, 995242, 1023196, 1053690, 1043751]"
167,"[874972, 953180, 882595, 1009046, 1082185]"
168,"[874972, 921504, 878996, 1018050, 1029743]"
169,"[874972, 12757316, 1037894, 1099164, 1082185]"
171,"[874972, 9913338, 907625, 1082185, 1029743]"
172,"[874972, 1082185, 1029743, 995242, 1106523]"
174,"[1051323, 900586, 973693, 5574409, 1085983]"
178,"[949023, 1110572, 1039156, 963686, 8090521]"
183,"[874972, 883404, 1082185, 1029743, 995242]"
184,"[848029, 916990, 851287, 1056746, 945662]"
185,"[874972, 840601, 1101010, 983584, 870428]"
187,"[849202, 1055155, 971949, 908531, 961554]"
188,"[874972, 879755, 847982, 1082185, 1029743]"
190,"[874972, 942817, 1079228, 825365, 1082185]"
191,"[874972, 1039156, 1082185, 1029743, 995242]"
192,"[874972, 9803601, 1078011, 5569230, 1127825]"
193,"[1134483, 9420067, 1106523, 944139, 831712]"
194,"[874972, 825541, 838186, 1051468, 1034956]"
195,"[12262830, 925164, 1010424, 845193, 9884484]"
196,"[970747, 1082185, 1029743, 995242, 1106523]"
197,"[874972, 7462562, 1126899, 838186, 882830]"
198,"[836445, 965842, 6979005, 1075368, 8090521]"
199,"[874972, 849843, 936634, 1082185, 1029743]"
200,"[874972, 1058997, 898601, 1044404, 909894]"
201,"[874972, 1007642, 1123720, 6034857, 1138292]"
202,"[829291, 1019247, 999779, 1126895, 926796]"
203,"[874972, 948384, 5569471, 1029743, 914190]"
204,"[874972, 5569230, 921504, 1053690, 9911484]"
205,"[1021324, 1075313, 934369, 1106523, 1051516]"
208,"[1075214, 956609, 951190, 862349, 879504]"
209,"[12301839, 7410342, 8357613, 8090532, 849843]"
210,"[863447, 849098, 908181, 910473, 1135868]"
211,"[874972, 1110572, 821464, 962229, 862732]"
212,"[874972, 13842214, 1056509, 995242, 847982]"
213,"[1000753, 1102959, 1082185, 1029743, 995242]"
214,"[874972, 1047769, 1046816, 944836, 1019643]"
215,"[874972, 10121965, 916122, 895540, 1082185]"
216,"[874972, 6533936, 895540, 974204, 1082185]"
217,"[1000753, 1018588, 1046756, 895930, 1110244]"
218,"[12301839, 1074333, 948232, 894439, 1085604]"
219,"[1034176, 1056509, 1023196, 916758, 965842]"
220,"[874972, 1038462, 1015280, 1016800, 995242]"
221,"[1075214, 6534077, 985742, 1133018, 1081421]"
222,"[874972, 1093030, 1134522, 1071759, 1058997]"
224,"[874972, 1102879, 845265, 10285144, 1082185]"
225,"[829291, 9420312, 16809471, 9487603, 902172]"
226,"[874972, 1082185, 1029743, 995242, 1106523]"
227,"[874972, 1104604, 908531, 890695, 898601]"
228,"[874972, 13115493, 1082185, 1029743, 995242]"
230,"[874972, 845193, 843744, 941183, 856060]"
232,"[1137346, 6534035, 861603, 1106523, 870547]"
233,"[833940, 1082212, 1093113, 5591154, 859237]"
235,"[1110111, 1133018, 911470, 862732, 908531]"
236,"[874972, 857554, 928754, 829852, 1076056]"
239,"[874972, 1039682, 835788, 1123792, 16809471]"
240,"[12731432, 912681, 5569230, 888543, 1106523]"
241,"[874972, 921288, 1082185, 1029743, 995242]"
242,"[874972, 895295, 843744, 862732, 999104]"
243,"[1075007, 1053690, 853172, 1126899, 932179]"
244,"[874972, 968932, 849843, 929018, 865891]"
245,"[874972, 1082185, 1029743, 995242, 1106523]"
246,"[874972, 1051468, 825994, 1070820, 1132968]"
247,"[874972, 1044188, 1070845, 1082185, 1133018]"
248,"[874972, 1082185, 1029743, 995242, 1106523]"
249,"[874972, 15926886, 1029743, 1082185, 1029743]"
250,"[1008032, 1132968, 962568, 8090537, 923967]"
251,"[848029, 936914, 960791, 1075368, 1070820]"
252,"[874972, 1082185, 1029743, 995242, 1106523]"
253,"[1025611, 1073150, 1072523, 912681, 1033615]"
254,"[874972, 982493, 831536, 1082185, 1029743]"
256,"[874972, 931777, 1101173, 1075368, 825541]"
257,"[874972, 16809471, 1033615, 993638, 1082185]"
258,"[1048257, 1000050, 15926844, 995242, 1082185]"
259,"[874972, 1082185, 1011578, 940947, 1039156]"
260,"[874972, 849098, 909714, 1045586, 834117]"
262,"[874972, 922561, 1043751, 1040807, 12384775]"
263,"[1070702, 889649, 1113588, 831063, 994223]"
264,"[874972, 844054, 1104695, 1018740, 961554]"
265,"[874972, 1082185, 1029743, 995242, 1106523]"
266,"[839419, 1070820, 994223, 5569471, 919423]"
267,"[874972, 1082185, 1029743, 995242, 1106523]"
268,"[874972, 1081479, 1082185, 1029743, 995242]"
269,"[948650, 895930, 1031831, 962229, 1139782]"
270,"[874972, 984715, 833724, 1053690, 1101010]"
271,"[1029688, 862349, 8090521, 856252, 844165]"
273,"[874972, 873964, 13115501, 6979579, 883404]"
274,"[874972, 1084177, 841228, 830795, 1082185]"
275,"[874972, 912681, 936508, 918638, 857554]"
276,"[12810391, 995896, 1052912, 12731544, 1042942]"
278,"[874972, 962229, 8090537, 9420312, 856060]"
280,"[874972, 1106523, 1082185, 1029743, 995242]"
281,"[874972, 1055504, 862349, 5585510, 934399]"
282,"[874972, 1089392, 5572828, 6034857, 919535]"
283,"[878715, 6034577, 862682, 5995692, 865705]"
284,"[874972, 996156, 12301405, 1101173, 15506577]"
285,"[874972, 839094, 819063, 849843, 1107289]"
286,"[10198378, 1119051, 1082185, 1029743, 995242]"
287,"[874972, 1001148, 13008334, 1033615, 1110042]"
288,"[874972, 1126899, 1018050, 865705, 821083]"
289,"[874972, 989824, 1009046, 970030, 848319]"
290,"[1012587, 946757, 873964, 962229, 952317]"
291,"[874972, 831536, 923967, 1108131, 6704207]"
292,"[874972, 16809471, 1076056, 1053690, 1106523]"
294,"[874972, 921836, 5568197, 9245108, 953180]"
297,"[874972, 819765, 831063, 6704207, 1110572]"
300,"[874972, 1082185, 1029743, 995242, 1106523]"
301,"[874972, 9571047, 924423, 9527323, 12428017]"
302,"[874972, 1062128, 1101174, 1005274, 887342]"
303,"[874972, 950206, 835618, 1070015, 895930]"
304,"[854405, 9571047, 1038462, 1107553, 873627]"
305,"[874972, 913210, 1011876, 1082185, 1029743]"
306,"[972143, 5591154, 904813, 862349, 1081479]"
307,"[874972, 889731, 838602, 1019637, 1039156]"
308,"[874972, 950206, 850841, 1110572, 947658]"
311,"[882826, 823862, 1110572, 930917, 1082185]"
312,"[874972, 965766, 906262, 901776, 1040935]"
314,"[833940, 1072483, 978974, 1058997, 995965]"
316,"[836445, 5585510, 1096317, 849843, 1122358]"
317,"[12301839, 1107553, 1101010, 868548, 983584]"
318,"[874972, 977481, 1106301, 5568729, 918335]"
321,"[874972, 895540, 856772, 944836, 922340]"
322,"[874972, 1030409, 1044078, 901062, 941734]"
323,"[826666, 1122358, 1126895, 921836, 925626]"
324,"[874972, 993466, 921288, 845715, 1076580]"
325,"[12810464, 977344, 827667, 896085, 1011300]"
326,"[874972, 879504, 1040807, 8090521, 1101010]"
327,"[874972, 1033615, 884774, 1133018, 883963]"
328,"[1048257, 977658, 999391, 1028816, 1070820]"
329,"[948670, 888532, 1123720, 1028950, 934369]"
330,"[874972, 1053690, 9420312, 1106523, 977499]"
331,"[874972, 862349, 1082185, 1082185, 1029743]"
332,"[948650, 1070803, 5565925, 862349, 1011300]"
333,"[874972, 899624, 1082185, 1029743, 995242]"
334,"[874972, 6034577, 1056509, 860975, 933060]"
338,"[874972, 895268, 1039156, 1028816, 1137688]"
339,"[874972, 1044188, 1051211, 1106523, 840361]"
342,"[1000753, 870515, 854852, 847982, 1082185]"
343,"[874972, 1040807, 865705, 909714, 1018740]"
345,"[874972, 1071759, 942817, 6602697, 1003188]"
346,"[825343, 911470, 865528, 849843, 1101010]"
347,"[874972, 1024306, 930118, 1082185, 1029743]"
348,"[947858, 1015296, 1014238, 849843, 5585510]"
349,"[874972, 889649, 838010, 1082172, 963365]"
350,"[874972, 1106523, 1044078, 1082185, 1029743]"
351,"[1000753, 6602697, 978077, 1057260, 892573]"
353,"[874972, 948086, 1082185, 1029743, 995242]"
354,"[849202, 1058997, 999779, 1097001, 1008814]"
356,"[874972, 1049735, 1084968, 867668, 1082185]"
357,"[833940, 1133018, 906763, 908531, 1100137]"
358,"[14106445, 933060, 1055504, 1015296, 5568489]"
360,"[874972, 1110572, 1037894, 1031831, 1045220]"
361,"[970866, 8203451, 1002771, 962229, 1101010]"
362,"[874972, 1104604, 868971, 1070015, 983795]"
364,"[12301839, 962229, 860975, 1092026, 1106301]"
365,"[874972, 924427, 986947, 1107553, 986912]"
366,"[874972, 858302, 948232, 1065593, 1077555]"
367,"[874972, 993466, 907392, 862349, 1031864]"
369,"[874972, 986912, 8090509, 959409, 1106523]"
371,"[1099089, 944836, 1037332, 6533936, 1070820]"
373,"[874972, 999779, 9926758, 986912, 896444]"
374,"[1108094, 7409670, 1121360, 1009046, 1029743]"
375,"[874972, 885023, 1058021, 1082185, 1029743]"
376,"[874972, 9487603, 1006184, 849843, 831536]"
377,"[874972, 959985, 994223, 1138443, 1082185]"
378,"[874972, 910673, 1035843, 1009046, 15926886]"
380,"[1013928, 822936, 850058, 1098284, 8090521]"
381,"[874972, 1106523, 856772, 819927, 6034857]"
382,"[874972, 926905, 1106523, 1043787, 7025202]"
383,"[874972, 1058997, 854754, 890695, 829722]"
384,"[825343, 10344971, 1075368, 1055504, 828143]"
385,"[874972, 1010190, 5568228, 914577, 1131321]"
386,"[874972, 10204488, 9526254, 1108131, 868764]"
387,"[878715, 916990, 999104, 1126899, 8090536]"
388,"[874972, 1031083, 834129, 1113141, 995242]"
389,"[887474, 947798, 972037, 845193, 1058997]"
390,"[874972, 927860, 999714, 1082185, 1029743]"
392,"[874972, 972665, 9487606, 1028473, 12263788]"
393,"[1013928, 1070272, 896085, 1108168, 1029743]"
394,"[874972, 13842090, 921836, 986912, 885290]"
395,"[874972, 1053690, 926233, 1000908, 5568378]"
396,"[874972, 993441, 1082185, 834103, 1135460]"
397,"[874972, 978343, 897953, 892573, 1058997]"
398,"[874972, 849843, 1097815, 8090521, 1053690]"
400,"[828106, 901776, 1103556, 5567702, 1056509]"
401,"[874972, 838010, 1068957, 1033615, 895540]"
402,"[970747, 900145, 1051468, 13842214, 819978]"
404,"[874972, 5569471, 862682, 1092588, 1121213]"
405,"[874972, 10344586, 1125904, 962229, 13842088]"
406,"[874972, 862349, 1116821, 934399, 1082185]"
407,"[9835223, 908531, 995242, 883404, 826249]"
409,"[1075214, 909750, 1101567, 8090536, 862349]"
410,"[948650, 1049897, 911812, 962229, 995242]"
411,"[874972, 1082185, 1029743, 995242, 1106523]"
412,"[1075214, 6463717, 986912, 849098, 989101]"
413,"[874972, 839346, 838186, 1106523, 1082185]"
414,"[874972, 1093413, 5570408, 971922, 1082212]"
415,"[874972, 895540, 1056509, 999104, 960791]"
417,"[874972, 9836195, 13115493, 5578547, 1081189]"
418,"[874972, 1119405, 1083296, 852360, 971922]"
420,"[874972, 1029743, 1082185, 1029743, 995242]"
421,"[1075214, 6533936, 1139782, 854754, 1092588]"
425,"[874972, 1092303, 842707, 862349, 959409]"
426,"[14106445, 963868, 1101706, 1057260, 899682]"
427,"[874972, 840361, 1110255, 1029743, 1082185]"
429,"[874972, 5585510, 1110142, 1056509, 995242]"
430,"[874972, 1075368, 998444, 962229, 1029743]"
432,"[874972, 825994, 907128, 838602, 919596]"
433,"[874972, 1137344, 12670071, 1106523, 1089392]"
434,"[874972, 1135768, 10121965, 1081189, 1039781]"
435,"[874972, 5569845, 1135681, 899624, 930344]"
437,"[948670, 1039156, 1082185, 1029743, 995242]"
438,"[874972, 6534480, 1019247, 9881593, 834117]"
441,"[874972, 8160430, 1009046, 1038985, 1123792]"
442,"[874972, 928092, 7025326, 1085604, 1126899]"
443,"[874972, 1109598, 866211, 862349, 1057260]"
446,"[874972, 1082185, 1029743, 995242, 1106523]"
447,"[1048507, 986912, 947326, 1057260, 995242]"
449,"[970866, 971922, 844441, 7025114, 953180]"
450,"[12810391, 1101010, 1082185, 13842214, 995242]"
451,"[874972, 999971, 963868, 916122, 1004906]"
454,"[1099089, 1016800, 935993, 844165, 1023958]"
457,"[874972, 844165, 1122568, 911311, 1029743]"
458,"[874972, 5587938, 1139493, 1058997, 1023958]"
459,"[863762, 1075313, 977873, 972312, 885290]"
460,"[874972, 826385, 981760, 1082185, 1029743]"
461,"[874972, 1077555, 979566, 909714, 995242]"
462,"[874972, 1043751, 854042, 889618, 13841744]"
463,"[948670, 933067, 994928, 1046689, 848154]"
464,"[874972, 838010, 9677236, 856252, 1126895]"
466,"[874972, 832001, 859191, 1082185, 1029743]"
467,"[874972, 7167945, 890283, 834117, 1110692]"
468,"[874972, 993638, 830887, 1098284, 985119]"
469,"[874972, 1137775, 883932, 862349, 901062]"
470,"[874972, 1030093, 9420312, 1113588, 933060]"
471,"[874972, 852360, 12648296, 8090521, 995242]"
474,"[874972, 1030093, 1065593, 1082185, 1029743]"
477,"[948670, 879755, 835788, 1029743, 13115579]"
478,"[8090440, 1082185, 1029743, 995242, 1106523]"
479,"[874972, 1082185, 1029743, 995242, 1106523]"
480,"[874972, 1009449, 1082185, 1029743, 995242]"
482,"[836445, 1101010, 999581, 8090537, 1025581]"
483,"[874972, 879755, 1077588, 1082185, 1029743]"
484,"[833940, 970760, 888532, 819330, 1044759]"
485,"[1012587, 999971, 868764, 6533608, 912112]"
487,"[874972, 906763, 7169034, 1082185, 1029743]"
489,"[874972, 845715, 909894, 986912, 1058997]"
491,"[874972, 994223, 1051468, 1100972, 10285106]"
493,"[874972, 12577242, 1017363, 1013321, 834103]"
495,"[12810391, 1116821, 1006250, 849843, 940731]"
497,"[874972, 911088, 1079223, 7410290, 942778]"
502,"[874972, 910473, 12427353, 908531, 1029743]"
503,"[874972, 997200, 1051379, 1073150, 8090536]"
505,"[874972, 1127716, 1082185, 1029743, 995242]"
506,"[849202, 1026118, 855138, 1104414, 886787]"
507,"[874972, 885290, 968932, 1126899, 1036501]"
508,"[874972, 830887, 1029504, 8090537, 1037863]"
510,"[874972, 1069522, 1017472, 1107553, 1036501]"
511,"[874972, 1107289, 8205218, 844165, 925258]"
513,"[1034176, 12263788, 8090541, 983959, 1093413]"
514,"[874972, 9487606, 935126, 1082185, 923169]"
515,"[874972, 898601, 1123792, 1066893, 995242]"
516,"[874972, 1082185, 1029743, 995242, 1106523]"
517,"[854405, 9524511, 1081582, 1126899, 1028816]"
518,"[1075214, 923967, 835530, 865026, 1056509]"
520,"[874972, 5580166, 1034686, 895540, 992622]"
521,"[874972, 6034964, 1009449, 1056746, 1026118]"
523,"[874972, 862349, 893501, 1110572, 1057260]"
524,"[874972, 1133018, 1067606, 1009046, 923746]"
525,"[874972, 1017472, 952408, 1101010, 1138443]"
526,"[1051323, 1097001, 1021116, 913210, 8090521]"
527,"[874972, 880427, 1118787, 910109, 1058997]"
531,"[874972, 819978, 1075368, 5569230, 976214]"
533,"[874972, 855279, 1035207, 844165, 9420312]"
534,"[874972, 935968, 9245106, 993466, 835595]"
537,"[874972, 1082185, 1029743, 995242, 1106523]"
538,"[1048257, 885290, 1092588, 1070820, 834158]"
539,"[1108094, 1023958, 1101010, 1058997, 1082185]"
540,"[12731436, 1138189, 865174, 1137688, 1082185]"
542,"[874972, 1139493, 1013597, 849843, 1106523]"
543,"[874972, 1137344, 1025628, 820486, 8090537]"
544,"[874972, 856772, 947201, 7410290, 841228]"
545,"[874972, 895540, 1070076, 912914, 879528]"
547,"[874972, 953180, 5585510, 8090536, 1106523]"
548,"[1001333, 1002178, 887342, 824073, 885406]"
550,"[874972, 844165, 1101010, 1082185, 849843]"
552,"[874972, 5592931, 998536, 1069039, 931255]"
553,"[874972, 9881593, 5565925, 6533936, 1037332]"
554,"[874972, 1096317, 6979427, 8090537, 1029743]"
556,"[874972, 1082185, 1029743, 995242, 1106523]"
557,"[874972, 1082185, 1029743, 995242, 1106523]"
558,"[948650, 1113588, 888543, 16809471, 5592931]"
560,"[874972, 1046756, 993466, 843464, 1003188]"
562,"[874972, 8090537, 821083, 962229, 965842]"
563,"[874972, 1070820, 5566235, 1134522, 832678]"
564,"[874972, 1110572, 1082185, 1029743, 995242]"
566,"[874972, 889649, 1027447, 1029743, 1000908]"
567,"[874972, 819978, 840601, 1070015, 986912]"
568,"[1013928, 925258, 1035207, 985119, 985893]"
569,"[874972, 5569471, 833724, 1028816, 12171656]"
570,"[948650, 850058, 1010424, 1007512, 912137]"
574,"[839419, 1060705, 819978, 883912, 5569374]"
575,"[1051323, 934156, 837139, 855718, 862349]"
576,"[874972, 945244, 937276, 1102949, 5580577]"
577,"[8090440, 901062, 908531, 1056509, 924427]"
578,"[874972, 862349, 5995603, 12263788, 8090521]"
579,"[970747, 1011300, 5585510, 879755, 934948]"
580,"[874972, 5582712, 979707, 1056509, 860975]"
581,"[874972, 1082185, 1029743, 995242, 1106523]"
582,"[1021324, 8090513, 822785, 1119051, 954642]"
583,"[874972, 974766, 891505, 1108168, 1082185]"
586,"[874972, 880888, 12263788, 8090521, 917407]"
587,"[874972, 7410015, 1077285, 890695, 1079048]"
588,"[874972, 1110572, 10204488, 1070015, 1085604]"
590,"[9835223, 962229, 861445, 13115548, 1106373]"
591,"[874972, 1094955, 1007549, 1082185, 1029743]"
593,"[874972, 1082185, 1029743, 995242, 1106523]"
594,"[874972, 889649, 923149, 962229, 896085]"
595,"[874972, 906763, 977658, 1002558, 1082185]"
596,"[972143, 985119, 1076875, 8090537, 1106523]"
598,"[1050741, 1043787, 868539, 960791, 9553048]"
600,"[1000753, 834103, 952317, 10285243, 856252]"
602,"[874972, 898601, 1117500, 1029743, 970619]"
603,"[874972, 861445, 9926758, 945909, 1082185]"
604,"[874972, 940947, 1053875, 862349, 1082185]"
605,"[948670, 862349, 9803601, 5591154, 13416351]"
606,"[874972, 924427, 888476, 880427, 849843]"
608,"[1013928, 5570882, 836445, 1038462, 1106523]"
609,"[874972, 1082185, 1029743, 995242, 1106523]"
610,"[874972, 909396, 1027068, 1081177, 1082185]"
611,"[956599, 6533362, 856252, 1053690, 12648296]"
612,"[854405, 870428, 9935616, 9881593, 1065593]"
613,"[874972, 1049735, 1011300, 1070015, 986912]"
614,"[1000753, 848029, 900802, 1077975, 986912]"
615,"[874972, 831536, 1082185, 995242, 1125382]"
617,"[874972, 1045220, 1017363, 1126899, 10344585]"
618,"[874972, 1082185, 1029743, 995242, 1106523]"
621,"[874972, 888054, 993638, 1112825, 9926758]"
622,"[1038663, 1011300, 1013167, 879755, 952317]"
623,"[874972, 1082185, 1029743, 995242, 1106523]"
624,"[948650, 856772, 931671, 849843, 5590613]"
630,"[874972, 825365, 858373, 862349, 6464147]"
631,"[874972, 9487927, 10285144, 1043035, 9571047]"
632,"[938138, 1017472, 944534, 1057260, 910473]"
633,"[874972, 12577242, 1126870, 1075368, 8090546]"
636,"[874972, 1135868, 900145, 5590613, 906763]"
637,"[1013928, 881917, 1011572, 926905, 1106523]"
638,"[874972, 1030409, 9884484, 895540, 1119051]"
640,"[874972, 1082185, 1029743, 995242, 1106523]"
641,"[12262830, 10285243, 824005, 862349, 1104349]"
643,"[874972, 898601, 865456, 996123, 932298]"
644,"[874972, 976864, 951197, 1077975, 821083]"
647,"[874972, 1083446, 1031087, 8090536, 953180]"
648,"[839419, 1019643, 1092303, 1119051, 895540]"
650,"[874972, 1082185, 1029743, 995242, 1106523]"
652,"[1008032, 1018588, 7409670, 1067695, 865891]"
653,"[874972, 1004555, 1035207, 1102959, 1082185]"
654,"[1034176, 832678, 15926886, 1056509, 849843]"
655,"[874972, 12946027, 951590, 1082185, 1029743]"
658,"[874972, 941741, 995055, 1038217, 1044078]"
659,"[874972, 1082185, 1029743, 995242, 1106523]"
660,"[874972, 1028473, 1116020, 934369, 936924]"
661,"[12262778, 1040346, 12731432, 986912, 1110572]"
662,"[874972, 849843, 871440, 1012284, 1115098]"
663,"[874972, 5585510, 970119, 1085604, 8090509]"
665,"[874972, 1071171, 1082185, 1029743, 995242]"
666,"[874972, 1058930, 12302069, 1133018, 1001827]"
667,"[1075214, 844165, 1034955, 860975, 912681]"
668,"[874972, 1042942, 873654, 1082185, 1029743]"
669,"[874972, 1019643, 1105623, 1126899, 971922]"
670,"[1065538, 1057260, 8090536, 868764, 891505]"
671,"[874972, 5569327, 1029743, 8273833, 866211]"
672,"[871061, 6533362, 850841, 983584, 849843]"
673,"[874972, 1076875, 1121360, 849843, 968936]"
674,"[874972, 954651, 950206, 6602697, 931255]"
675,"[874972, 9245108, 919423, 1033615, 1121384]"
676,"[1000753, 1106301, 970747, 947798, 1070015]"
680,"[874972, 900586, 873627, 995242, 845675]"
681,"[850102, 9527350, 12384775, 1126899, 890695]"
684,"[874972, 1001148, 835788, 849843, 835347]"
